Material_Name,Chemical_Formula,Category,Phase Note,Equation_Type,T_min_K,T_max_K,a,b,c,Data Source / Citation
Stainless Steel 316,Fe-16Cr-10Ni-2Mo,Metals and alloys,Solid / Crystalline,Polynomial,298,1200,468.0,0.26,0.0,MatWeb — MatWeb Material Property Data - SS 316
Stainless Steel 410,Fe-12Cr,Metals and alloys,Solid / Crystalline,Polynomial,298,1000,440.0,0.31,0.0,MatWeb — MatWeb Material Property Data - SS 410
Duplex Stainless Steel 2205,Fe-22Cr-5Ni-3Mo-N,Metals and alloys,Solid / Crystalline,Polynomial,298,1100,470.0,0.25,0.0,AZoM Materials Database — AZoM Materials Database - 2205 Duplex
Inconel 625,Ni-22Cr-9Mo-3.5Nb,Metals and alloys,Solid / Crystalline,Polynomial,298,1300,410.0,0.22,0.0,MatWeb — Special Metals Inconel 625 Technical Data
Inconel 718,Ni-19Cr-3Mo-5Nb-Fe,Metals and alloys,Solid / Crystalline,Polynomial,298,1300,435.0,0.21,0.0,MatWeb — Special Metals Inconel 718 Datasheet
Incoloy 800,Fe-32Ni-21Cr,Metals and alloys,Solid / Crystalline,Polynomial,298,1200,460.0,0.24,0.0,MatWeb — Special Metals Incoloy 800 Data Sheet
Monel 400,Ni-31Cu,Metals and alloys,Solid / Crystalline,Polynomial,298,1100,427.0,0.18,0.0,MatWeb — Special Metals Monel 400 Technical Bulletin
Hastelloy C-276,Ni-16Mo-16Cr-4W,Metals and alloys,Solid / Crystalline,Polynomial,298,1250,427.0,0.19,0.0,MatWeb — Haynes International Hastelloy C-276
Nimonic 80A,Ni-20Cr-2.4Ti-1.4Al,Metals and alloys,Solid / Crystalline,Polynomial,298,1200,448.0,0.22,0.0,AZoM Materials Database — AZoM Materials Database - Nimonic 80A
Titanium Ti-6Al-4V (Grade 5),Ti-6Al-4V,Metals and alloys,Solid / Crystalline,Polynomial,298,1100,526.0,0.18,0.0,MatWeb — MatWeb Material Property Data - Ti-6Al-4V
Titanium Ti-6Al-2Sn-4Zr-2Mo,Ti-6Al-2Sn-4Zr-2Mo,Metals and alloys,Solid / Crystalline,Polynomial,298,1000,510.0,0.2,0.0,MatWeb — MatWeb Material Property Data - Ti-6242
Titanium Ti-3Al-2.5V (Grade 9),Ti-3Al-2.5V,Metals and alloys,Solid / Crystalline,Polynomial,298,1000,530.0,0.17,0.0,MatWeb — MatWeb Material Property Data - Ti-3Al-2.5V
Aluminum 6061-T6,Al-1.0Mg-0.6Si,Metals and alloys,Solid / Crystalline,Polynomial,298,800,896.0,0.45,0.0,MatWeb — MatWeb Material Property Data - Al 6061
Aluminum 7075-T6,Al-5.6Zn-2.5Mg-1.6Cu,Metals and alloys,Solid / Crystalline,Polynomial,298,750,860.0,0.48,0.0,MatWeb — MatWeb Material Property Data - Al 7075
Aluminum 2024-T3,Al-4.4Cu-1.5Mg-0.6Mn,Metals and alloys,Solid / Crystalline,Polynomial,298,750,875.0,0.46,0.0,MatWeb — MatWeb Material Property Data - Al 2024
Aluminum 5083-H116,Al-4.5Mg-0.7Mn,Metals and alloys,Solid / Crystalline,Polynomial,298,750,900.0,0.44,0.0,MatWeb — MatWeb Material Property Data - Al 5083
Cartridge Brass (CuZn30),Cu-30Zn,Metals and alloys,Solid / Crystalline,Polynomial,298,1000,377.0,0.12,0.0,MatWeb — Copper Development Association - C26000
Naval Brass (CuZn39Sn1),Cu-39Zn-1Sn,Metals and alloys,Solid / Crystalline,Polynomial,298,950,380.0,0.13,0.0,MatWeb — Copper Development Association - C46400
Phosphor Bronze (CuSn8),Cu-8Sn-0.2P,Metals and alloys,Solid / Crystalline,Polynomial,298,1000,380.0,0.11,0.0,MatWeb — Copper Development Association - C52100
Aluminum Bronze (CuAl10Fe3),Cu-10Al-3Fe,Metals and alloys,Solid / Crystalline,Polynomial,298,1000,419.0,0.14,0.0,MatWeb — Copper Development Association - C61400
Cupronickel 70-30,Cu-30Ni-1Fe-1Mn,Metals and alloys,Solid / Crystalline,Polynomial,298,1100,377.0,0.15,0.0,MatWeb — Copper Development Association - C71500
Beryllium Copper (C17200),Cu-1.9Be-0.2Co,Metals and alloys,Solid / Crystalline,Polynomial,298,900,420.0,0.16,0.0,MatWeb — Copper Development Association - C17200
Magnesium AZ31B,Mg-3Al-1Zn,Metals and alloys,Solid / Crystalline,Polynomial,298,700,1020.0,0.55,0.0,MatWeb — MatWeb Material Property Data - AZ31B
Magnesium AZ91D,Mg-9Al-0.7Zn,Metals and alloys,Solid / Crystalline,Polynomial,298,700,1050.0,0.58,0.0,MatWeb — MatWeb Material Property Data - AZ91D
Nitinol (Shape Memory Alloy),Ni-Ti (55Ni-45Ti),Metals and alloys,Solid / Crystalline,Polynomial,298,900,480.0,0.15,0.0,AZoM Materials Database — AZoM Materials Database - Nitinol Alloys
Kovar,Fe-29Ni-17Co,Metals and alloys,Solid / Crystalline,Polynomial,298,800,460.0,0.21,0.0,MatWeb — MatWeb Material Property Data - Kovar
Invar 36,Fe-36Ni,Metals and alloys,Solid / Crystalline,Polynomial,298,700,515.0,0.19,0.0,MatWeb — MatWeb Material Property Data - Invar 36
Stellite 6,Co-28Cr-4.5W-1.2C,Metals and alloys,Solid / Crystalline,Polynomial,298,1200,420.0,0.18,0.0,AZoM Materials Database — Kennametal Stellite 6 Technical Datasheet
Solder Alloy (Sn63Pb37),63Sn-37Pb,Metals and alloys,Condensed,Polynomial,298,450,167.0,0.08,0.0,MatWeb — MatWeb Material Property Data - Sn63Pb37
Alumina (Corundum),Al2O3,Ceramics,Solid / Crystalline,Shomate,298,1200,102.429,38.749,-15.91,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Thermochemical Tables (1998)"
Silicon Nitride (alpha),Si3N4,Ceramics,Solid / Crystalline,Shomate,298,2000,76.36,109.04,-43.37,NIST JANAF — NIST-JANAF Thermochemical Tables (1998)
Silicon Carbide (beta),SiC,Ceramics,Solid / Crystalline,Shomate,298,2000,35.85,20.08,-6.42,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Thermochemical Tables (1998)"
Titanium Carbide,TiC,Ceramics,Solid / Crystalline,Shomate,298,2000,49.71,5.18,-0.82,Materials Project — Materials Project Database (mp-631)
Boron Carbide,B4C,Ceramics,Solid / Crystalline,Shomate,298,2000,87.32,48.16,-19.45,NIST JANAF — NIST-JANAF Thermochemical Tables (1998)
Titanium Nitride,TiN,Ceramics,Solid / Crystalline,Shomate,298,2000,41.25,12.35,-3.84,NIST JANAF — NIST-JANAF Thermochemical Tables
Aluminum Nitride,AlN,Ceramics,Solid / Crystalline,Shomate,298,1800,39.85,15.24,-4.12,NIST JANAF — NIST-JANAF Thermochemical Tables
Zirconium Carbide,ZrC,Ceramics,Solid / Crystalline,Shomate,298,2000,48.12,6.54,-1.12,Materials Project — Materials Project Database (mp-1754)
Zirconium Nitride,ZrN,Ceramics,Solid / Crystalline,Shomate,298,2000,42.15,10.42,-2.85,NIST JANAF — NIST-JANAF Thermochemical Tables
Boron Nitride (Hexagonal),BN,Ceramics,Solid / Crystalline,Shomate,298,1800,23.45,25.12,-9.84,NIST JANAF — NIST-JANAF Thermochemical Tables
Titanium Diboride,TiB2,Ceramics,Solid / Crystalline,Shomate,298,2000,62.45,21.84,-6.95,Materials Project — Materials Project Database (mp-2775)
Zirconium Diboride,ZrB2,Ceramics,Solid / Crystalline,Shomate,298,2000,64.12,19.52,-5.84,Materials Project — Materials Project Database (mp-2325)
Titanium Dioxide (Rutile),TiO2,Ceramics,Solid / Crystalline,Shomate,298,1800,67.25,18.95,-6.42,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
Zinc Oxide (Zincite),ZnO,Ceramics,Solid / Crystalline,Shomate,298,1500,44.12,9.85,-2.45,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
Chromium(III) Oxide,Cr2O3,Ceramics,Solid / Crystalline,Shomate,298,1600,112.45,25.84,-8.12,NIST JANAF — NIST-JANAF Thermochemical Tables
Iron(III) Oxide (Hematite),Fe2O3,Ceramics,Solid / Crystalline,Shomate,298,1000,118.52,35.12,-12.45,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables"
Yttrium Oxide (Yttria),Y2O3,Ceramics,Solid / Crystalline,Shomate,298,2000,115.42,22.15,-5.48,IVTAN Thermodynamic Database — IVTAN Tables (Gurvich)
Lanthanum Oxide,La2O3,Ceramics,Solid / Crystalline,Shomate,298,2000,120.15,24.85,-6.12,IVTAN Thermodynamic Database — IVTAN Tables (Gurvich)
Cerium(IV) Oxide (Ceria),CeO2,Ceramics,Solid / Crystalline,Shomate,298,1800,66.85,14.12,-3.95,NIST JANAF — NIST-JANAF Thermochemical Tables
Barium Titanate,BaTiO3,Ceramics,Solid / Crystalline,Shomate,298,1400,115.82,22.45,-7.12,Materials Project — Materials Project Database (mp-5986)
Lead Zirconate Titanate (PZT),PbZr0.52Ti0.48O3,Ceramics,Solid / Crystalline,Polynomial,298,800,380.0,0.16,0.0,AZoM Materials Database — AZoM Technical Ceramics Data
Strontium Titanate,SrTiO3,Ceramics,Solid / Crystalline,Shomate,298,1500,112.15,20.45,-5.85,Materials Project — Materials Project Database (mp-5229)
Cordierite,Mg2Al4Si5O18,Ceramics,Solid / Crystalline,Shomate,298,1500,545.2,142.5,-45.1,NIST Chemistry WebBook — NIST-JANAF Thermochemical Tables
Steatite (Magnesium Silicate),MgSiO3,Ceramics,Solid / Crystalline,Shomate,298,1400,89.45,24.12,-6.85,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables"
Mullite,3Al2O3-2SiO2,Ceramics,Solid / Crystalline,Shomate,298,1800,382.4,95.12,-28.45,NIST JANAF — NIST-JANAF Thermochemical Tables
Zircon (Zirconium Silicate),ZrSiO4,Ceramics,Solid / Crystalline,Shomate,298,1700,124.52,31.45,-9.85,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables"
Sialon (beta-phase),Si4Al2O2N6,Ceramics,Solid / Crystalline,Polynomial,298,1500,750.0,0.35,0.0,AZoM Materials Database — AZoM Materials Database - Sialon
Hydroxyapatite,Ca10(PO4)6(OH)2,Ceramics,Solid / Crystalline,Shomate,298,1200,850.4,210.5,-65.2,PubChem — PubChem Compound Database (CID 44143493)
Beryllium Oxide (Beryllia),BeO,Ceramics,Solid / Crystalline,Shomate,298,2000,45.12,12.85,-3.95,NIST JANAF — NIST-JANAF Thermochemical Tables
Tantalum Nitride,TaN,Ceramics,Solid / Crystalline,Shomate,298,2000,44.52,9.15,-2.12,AFLOW Database — AFLOW Materials Database
Silicon,Si,Semiconductors,Solid / Crystalline,Shomate,298,1687,22.817,3.899,-0.085,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Thermochemical Tables (1998)"
Germanium,Ge,Semiconductors,Solid / Crystalline,Shomate,298,1211,23.45,4.89,-0.78,OQMD — Open Quantum Materials Database (OQMD)
Gallium Arsenide,GaAs,Semiconductors,Solid / Crystalline,Shomate,298,1511,46.52,7.32,-1.02,AFLOW Database — AFLOW Materials Database
Gallium Nitride,GaN,Semiconductors,Solid / Crystalline,Shomate,298,1200,38.12,18.45,-6.12,Materials Project — Materials Project Database (mp-804)
Indium Phosphide,InP,Semiconductors,Solid / Crystalline,Shomate,298,1333,44.82,8.95,-1.45,AFLOW Database — AFLOW Materials Database
Indium Arsenide,InAs,Semiconductors,Solid / Crystalline,Shomate,298,1215,46.85,6.45,-0.85,Materials Project — Materials Project Database (mp-20305)
Indium Antimonide,InSb,Semiconductors,Solid / Crystalline,Shomate,298,798,48.12,5.84,-0.62,AFLOW Database — AFLOW Materials Database
Gallium Phosphide,GaP,Semiconductors,Solid / Crystalline,Shomate,298,1750,43.95,9.82,-1.85,NIST JANAF — NIST-JANAF Thermochemical Tables
Gallium Antimonide,GaSb,Semiconductors,Solid / Crystalline,Shomate,298,985,47.65,6.12,-0.74,OQMD — Open Quantum Materials Database
Aluminum Arsenide,AlAs,Semiconductors,Solid / Crystalline,Shomate,298,2013,45.12,8.15,-1.25,Materials Project — Materials Project Database (mp-2172)
Aluminum Phosphide,AlP,Semiconductors,Solid / Crystalline,Shomate,298,1800,42.85,10.45,-2.15,AFLOW Database — AFLOW Materials Database
Aluminum Antimonide,AlSb,Semiconductors,Solid / Crystalline,Shomate,298,1330,46.95,7.12,-0.95,OQMD — Open Quantum Materials Database
Cadmium Telluride,CdTe,Semiconductors,Solid / Crystalline,Shomate,298,1365,47.85,5.12,-0.48,Springer Open Data — SpringerMaterials - Group II-VI
Cadmium Selenide,CdSe,Semiconductors,Solid / Crystalline,Shomate,298,1512,47.15,5.95,-0.68,Materials Project — Materials Project Database (mp-1070)
Cadmium Sulfide,CdS,Semiconductors,Solid / Crystalline,Shomate,298,1600,45.82,7.45,-1.15,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
Zinc Selenide,ZnSe,Semiconductors,Solid / Crystalline,Shomate,298,1400,48.25,4.82,-0.35,OQMD — Open Quantum Materials Database
Zinc Telluride,ZnTe,Semiconductors,Solid / Crystalline,Shomate,298,1568,48.95,4.15,-0.28,Materials Project — Materials Project Database (mp-2176)
Zinc Sulfide (Sphalerite),ZnS,Semiconductors,Solid / Crystalline,Shomate,298,1450,44.15,8.65,-1.45,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
Lead Sulfide (Galena),PbS,Semiconductors,Solid / Crystalline,Shomate,298,1390,46.92,6.15,-0.78,NIST JANAF — NIST-JANAF Thermochemical Tables
Lead Telluride,PbTe,Semiconductors,Solid / Crystalline,Shomate,298,1197,49.12,4.25,-0.32,Materials Project — Materials Project Database (mp-1979)
Lead Selenide,PbSe,Semiconductors,Solid / Crystalline,Shomate,298,1350,48.45,4.95,-0.45,OQMD — Open Quantum Materials Database
Molybdenum Disulfide,MoS2,Semiconductors,Solid / Crystalline,Shomate,298,1400,65.12,22.45,-7.12,Materials Project — Materials Project Database (mp-2815)
Tungsten Diselenide,WSe2,Semiconductors,Solid / Crystalline,Shomate,298,1300,69.85,18.12,-5.25,AFLOW Database — AFLOW Materials Database
Copper Indium Gallium Selenide,CuIn0.7Ga0.3Se2,Semiconductors,Solid / Crystalline,Polynomial,298,900,310.0,0.09,0.0,Springer Open Data — SpringerMaterials - Solar Cell Data
Copper Indium Diselenide,CuInSe2,Semiconductors,Solid / Crystalline,Shomate,298,1000,94.25,18.45,-4.85,Materials Project — Materials Project Database (mp-1577)
Tin(II) Sulfide,SnS,Semiconductors,Solid / Crystalline,Shomate,298,1150,46.25,7.85,-1.12,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables"
Germanium Telluride,GeTe,Semiconductors,Solid / Crystalline,Shomate,298,998,48.85,5.45,-0.58,OQMD — Open Quantum Materials Database
Silicon Germanium Alloy,Si0.8Ge0.2,Semiconductors,Solid / Crystalline,Shomate,298,1400,22.95,4.12,-0.22,Springer Open Data — Landolt-Börnstein Group III
Beta-Gallium Oxide,beta-Ga2O3,Semiconductors,Solid / Crystalline,Shomate,298,1500,118.45,24.12,-6.85,Materials Project — Materials Project Database (mp-886)
Black Phosphorus,P,Semiconductors,Solid / Crystalline,Shomate,298,800,21.45,12.85,-4.12,AFLOW Database — AFLOW Materials Database
High-Density Polyethylene (HDPE),(C2H4)n,Polymers,Condensed,Polynomial,200,400,1350.0,4.2,0.0,PoLyInfo — PoLyInfo (NIMS Polymer Database)
Low-Density Polyethylene (LDPE),(C2H4)n,Polymers,Condensed,Polynomial,200,380,1450.0,4.65,0.0,PoLyInfo — PoLyInfo (NIMS Polymer Database)
Polypropylene (PP),(C3H6)n,Polymers,Condensed,Polynomial,200,380,1200.0,3.9,0.0,PoLyInfo — PoLyInfo (NIMS Polymer Database)
Polytetrafluoroethylene (PTFE),(C2F4)n,Polymers,Solid / Crystalline,Polynomial,200,550,850.0,2.1,0.0,AZoM Materials Database — AZoM Materials Database - PTFE
Polystyrene (PS),(C8H8)n,Polymers,Condensed,Polynomial,200,370,1150.0,3.3,0.0,PoLyInfo — PoLyInfo (NIMS Polymer Database)
Polycarbonate (PC),(C16H14O3)n,Polymers,Condensed,Polynomial,250,420,1080.0,2.8,0.0,MatWeb — MatWeb Material Property Data - PC
Polymethyl Methacrylate (PMMA),(C5O2H8)n,Polymers,Condensed,Polynomial,200,380,1250.0,3.1,0.0,PoLyInfo — PoLyInfo (NIMS Polymer Database)
Polyethylene Terephthalate (PET),(C10H8O4)n,Polymers,Condensed,Polynomial,200,350,1050.0,2.95,0.0,PoLyInfo — PoLyInfo (NIMS Polymer Database)
Polyvinyl Chloride (PVC),(C2H3Cl)n,Polymers,Condensed,Polynomial,200,350,900.0,2.45,0.0,PoLyInfo — PoLyInfo (NIMS Polymer Database)
Polyamide 6 (Nylon 6),(C6H11NO)n,Polymers,Condensed,Polynomial,200,480,1300.0,3.4,0.0,MatWeb — MatWeb Material Property Data - Nylon 6
"Polyamide 66 (Nylon 6,6)",(C12H22N2O2)n,Polymers,Condensed,Polynomial,200,500,1350.0,3.55,0.0,MatWeb — MatWeb Material Property Data - Nylon 66
Polyether Ether Ketone (PEEK),(C19H12O3)n,Polymers,Solid / Crystalline,Polynomial,250,550,1340.0,2.4,0.0,AZoM Materials Database — AZoM Engineering Plastics - PEEK
Polyoxymethylene (Acetal / POM),(CH2O)n,Polymers,Condensed,Polynomial,200,420,1220.0,3.15,0.0,PoLyInfo — PoLyInfo (NIMS Polymer Database)
Polylactic Acid (PLA),(C3H4O2)n,Polymers,Condensed,Polynomial,200,330,1180.0,2.85,0.0,PoLyInfo — PoLyInfo (NIMS Polymer Database)
Polyvinylidene Fluoride (PVDF),(C2H2F2)n,Polymers,Condensed,Polynomial,200,420,1100.0,2.65,0.0,MatWeb — MatWeb Material Property Data - PVDF
Polyimide (Kapton),(C22H10N2O5)n,Polymers,Solid / Crystalline,Polynomial,200,600,1090.0,1.85,0.0,AZoM Materials Database — DuPont Kapton Summary Datasheet
Polyetherimide (Ultem / PEI),(C37H24O6N2)n,Polymers,Condensed,Polynomial,200,480,1150.0,2.25,0.0,MatWeb — SABIC Ultem Material Property Data
Polyphenylene Sulfide (PPS),(C6H4S)n,Polymers,Solid / Crystalline,Polynomial,200,520,1020.0,2.1,0.0,MatWeb — MatWeb Material Property Data - PPS
Polysulfone (PSU),(C27H22O4S)n,Polymers,Condensed,Polynomial,200,460,1120.0,2.3,0.0,AZoM Materials Database — AZoM High-Performance Polymers
Polydimethylsiloxane (PDMS),(C2H6OSi)n,Polymers,Condensed,Polynomial,200,450,1380.0,1.95,0.0,PoLyInfo — PoLyInfo (NIMS Polymer Database)
Polyurethane (Elastomer),(C17H16N2O4)n,Polymers,Condensed,Polynomial,200,380,1500.0,3.2,0.0,MatWeb — MatWeb Polyurethane Data
Acrylonitrile Butadiene Styrene (ABS),(C8H8)x(C4H6)y(C3H3N)z,Polymers,Condensed,Polynomial,200,380,1300.0,3.1,0.0,MatWeb — MatWeb Material Property Data - ABS
Natural Rubber (Polyisoprene),(C5H8)n,Polymers,Condensed,Polynomial,200,350,1620.0,3.8,0.0,PoLyInfo — PoLyInfo (NIMS Polymer Database)
Styrene-Butadiene Rubber (SBR),(C8H8)x(C4H6)y,Polymers,Condensed,Polynomial,200,350,1580.0,3.65,0.0,PoLyInfo — PoLyInfo (NIMS Polymer Database)
Nitrile Rubber (NBR),(C3H3N)x(C4H6)y,Polymers,Condensed,Polynomial,200,360,1550.0,3.45,0.0,MatWeb — MatWeb Rubber Material Data
Ethylene Propylene Diene (EPDM),(C2H4)x(C3H6)y(diene)z,Polymers,Condensed,Polynomial,200,370,1700.0,3.9,0.0,MatWeb — MatWeb EPDM Datasheet
Polybutylene Terephthalate (PBT),(C12H12O4)n,Polymers,Condensed,Polynomial,200,480,1100.0,2.8,0.0,PoLyInfo — PoLyInfo (NIMS Polymer Database)
Polyacrylonitrile (PAN),(C3H3N)n,Polymers,Condensed,Polynomial,200,360,1220.0,2.75,0.0,PoLyInfo — PoLyInfo (NIMS Polymer Database)
Polyvinyl Alcohol (PVA),(C2H4O)n,Polymers,Condensed,Polynomial,200,400,1400.0,3.5,0.0,PoLyInfo — PoLyInfo (NIMS Polymer Database)
Epoxy Resin (Bisphenol A Diglycidyl Ether),(C21H24O4)n,Polymers,Condensed,Polynomial,200,420,1120.0,2.5,0.0,MatWeb — MatWeb Epoxy Resins Overview
Fused Silica Glass,SiO2,Glasses,Solid / Crystalline,Shomate,298,1800,58.12,24.15,-8.12,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Thermochemical Tables (1998)"
Borosilicate Glass (Pyrex),SiO2-B2O3-Na2O-Al2O3,Glasses,Solid / Crystalline,Polynomial,273,800,750.0,0.85,-0.0003,AZoM Materials Database — AZoM Materials Database - Borosilicate
Soda-Lime Glass,SiO2-Na2O-CaO,Glasses,Solid / Crystalline,Polynomial,273,800,840.0,0.78,0.0,MatWeb — MatWeb Material Property Data - Glasses
Aluminosilicate Glass,SiO2-Al2O3-CaO-MgO,Glasses,Solid / Crystalline,Polynomial,273,900,780.0,0.72,0.0,MatWeb — Corning Gorilla Glass Property Sheet
Lead Crystal Glass,SiO2-PbO-K2O,Glasses,Solid / Crystalline,Polynomial,273,750,500.0,0.45,0.0,AZoM Materials Database — AZoM Optical Glasses
Fluoride Glass (ZBLAN),ZrF4-BaF2-LaF3-AlF3-NaF,Glasses,Solid / Crystalline,Polynomial,200,600,620.0,0.58,0.0,MatWeb — Optical Fluoride Glass Technical Data
Chalcogenide Glass (Ge33As12Se55),Ge33As12Se55,Glasses,Condensed,Polynomial,200,500,360.0,0.28,0.0,Springer Open Data — SpringerMaterials Chalcogenide Database
96% Silica Glass (Vycor),SiO2-B2O3,Glasses,Solid / Crystalline,Polynomial,273,1100,740.0,0.82,0.0,MatWeb — Corning Vycor Glass Datasheet
E-Glass (Alumino-borosilicate),SiO2-Al2O3-B2O3-CaO,Glasses,Solid / Crystalline,Polynomial,273,900,800.0,0.75,0.0,AZoM Materials Database — AZoM Fiber Glass Compositions
S-Glass (High Strength),SiO2-Al2O3-MgO,Glasses,Solid / Crystalline,Polynomial,273,950,735.0,0.78,0.0,AZoM Materials Database — AGY S-Glass Technical Summary
Glass Ceramic (Zerodur),SiO2-Al2O3-Li2O,Glasses,Solid / Crystalline,Polynomial,200,600,820.0,0.65,0.0,MatWeb — Schott Zerodur Glass Ceramic Data
Glass Ceramic (Macor),SiO2-Al2O3-MgO-K2O-F,Glasses,Solid / Crystalline,Polynomial,200,800,790.0,0.68,0.0,Corning Technical Database — Corning Macor Machinable Glass
Phosphate Glass,P2O5-Al2O3-Na2O,Glasses,Solid / Crystalline,Polynomial,273,700,710.0,0.62,0.0,Springer Open Data — Laser Phosphate Glass Properties
Germanate Glass,GeO2-PbO,Glasses,Solid / Crystalline,Polynomial,273,750,480.0,0.38,0.0,AZoM Materials Database — Infrared Glasses Handbook
Tellurite Glass,TeO2-WO3-La2O3,Glasses,Solid / Crystalline,Polynomial,273,650,390.0,0.32,0.0,Springer Open Data — Non-Oxide Glass Materials Data
Magnesia (Periclase),MgO,Refractories,Solid / Crystalline,Shomate,298,2000,47.26,5.68,-0.87,NIST JANAF — NIST-JANAF Thermochemical Tables (1998)
Zirconia (Monoclinic),ZrO2,Refractories,Solid / Crystalline,Shomate,298,1478,69.62,11.23,-2.34,IVTAN Thermodynamic Database — IVTAN Tables (Gurvich)
Hafnium Carbide,HfC,Refractories,Solid / Crystalline,Shomate,298,2500,47.85,7.12,-1.25,NIST JANAF — NIST-JANAF Thermochemical Tables
Tantalum Carbide,TaC,Refractories,Solid / Crystalline,Shomate,298,2500,46.92,8.45,-1.62,Materials Project — Materials Project Database (mp-1986)
