Material_ID,Material_Name,Chemical_Formula,Category,T_min_K,T_max_K,a,b,c,R_squared,Cp_Unit,Original_Equation_Type,Source_Database
MAT034,Titanium Ti-6Al-4V (Grade 5),Ti-6Al-4V,Metals and alloys,298,1100,526.0,0.18,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - Ti-6Al-4V
MAT035,Titanium Ti-6Al-2Sn-4Zr-2Mo,Ti-6Al-2Sn-4Zr-2Mo,Metals and alloys,298,1000,510.0,0.2,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - Ti-6242
MAT036,Titanium Ti-3Al-2.5V (Grade 9),Ti-3Al-2.5V,Metals and alloys,298,1000,530.0,0.17,0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - Ti-3Al-2.5V
MAT037,Aluminum 6061-T6,Al-1.0Mg-0.6Si,Metals and alloys,298,800,896.0,0.45,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - Al 6061
MAT038,Aluminum 7075-T6,Al-5.6Zn-2.5Mg-1.6Cu,Metals and alloys,298,750,860.0,0.48,0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - Al 7075
MAT039,Aluminum 2024-T3,Al-4.4Cu-1.5Mg-0.6Mn,Metals and alloys,298,750,875.0,0.46,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - Al 2024
MAT040,Aluminum 5083-H116,Al-4.5Mg-0.7Mn,Metals and alloys,298,750,900.0,0.44,0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - Al 5083
MAT041,Cartridge Brass (CuZn30),Cu-30Zn,Metals and alloys,298,1000,377.0,0.12,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — Copper Development Association - C26000
MAT042,Naval Brass (CuZn39Sn1),Cu-39Zn-1Sn,Metals and alloys,298,950,380.0,0.13,0.0,1.0,J/(kg*K),Polynomial,MatWeb — Copper Development Association - C46400
MAT043,Phosphor Bronze (CuSn8),Cu-8Sn-0.2P,Metals and alloys,298,1000,380.0,0.11,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — Copper Development Association - C52100
MAT044,Aluminum Bronze (CuAl10Fe3),Cu-10Al-3Fe,Metals and alloys,298,1000,419.0,0.14,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — Copper Development Association - C61400
MAT045,Cupronickel 70-30,Cu-30Ni-1Fe-1Mn,Metals and alloys,298,1100,377.0,0.15,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — Copper Development Association - C71500
MAT046,Beryllium Copper (C17200),Cu-1.9Be-0.2Co,Metals and alloys,298,900,420.0,0.16,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — Copper Development Association - C17200
MAT047,Magnesium AZ31B,Mg-3Al-1Zn,Metals and alloys,298,700,1020.0,0.55,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - AZ31B
MAT048,Magnesium AZ91D,Mg-9Al-0.7Zn,Metals and alloys,298,700,1050.0,0.58,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - AZ91D
MAT049,Nitinol (Shape Memory Alloy),Ni-Ti (55Ni-45Ti),Metals and alloys,298,900,480.0,0.15,-0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — AZoM Materials Database - Nitinol Alloys
MAT050,Kovar,Fe-29Ni-17Co,Metals and alloys,298,800,460.0,0.21,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - Kovar
MAT051,Invar 36,Fe-36Ni,Metals and alloys,298,700,515.0,0.19,0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - Invar 36
MAT052,Stellite 6,Co-28Cr-4.5W-1.2C,Metals and alloys,298,1200,420.0,0.18,-0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — Kennametal Stellite 6 Technical Datasheet
MAT053,Solder Alloy (Sn63Pb37),63Sn-37Pb,Metals and alloys,298,450,167.0,0.08,0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - Sn63Pb37
MAT054,Alumina (Corundum),Al2O3,Ceramics,298,1200,112.224413,0.01597926,-3450053.421848,0.999596,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Thermochemical Tables (1998)"
MAT055,Silicon Nitride (alpha),Si3N4,Ceramics,298,2000,121.354265,0.02808331,-5065116.870517,0.990254,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables (1998)
MAT056,Silicon Carbide (beta),SiC,Ceramics,298,2000,43.351408,0.00710753,-1358347.151035,0.995063,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Thermochemical Tables (1998)"
MAT057,Titanium Carbide,TiC,Ceramics,298,2000,50.911013,0.00323756,-1388579.462773,0.999678,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-631)
MAT058,Boron Carbide,B4C,Ceramics,298,2000,107.222586,0.01217788,-5020819.501308,0.996109,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables (1998)
MAT059,Titanium Nitride,TiN,Ceramics,298,2000,45.817786,0.00449559,-936386.015944,0.995668,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT060,Aluminum Nitride,AlN,Ceramics,298,1800,44.65062,0.00675365,-1210583.207947,0.997631,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT061,Zirconium Carbide,ZrC,Ceramics,298,2000,49.703108,0.00395427,-1252902.508626,0.999466,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-1754)
MAT062,Zirconium Nitride,ZrN,Ceramics,298,2000,45.608599,0.0045101,-957838.420692,0.997502,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT063,Boron Nitride (Hexagonal),BN,Ceramics,298,1800,32.818929,0.00748159,-1390945.067385,0.994764,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT064,Titanium Diboride,TiB2,Ceramics,298,2000,70.690069,0.00765625,-2666232.056628,0.997288,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-2775)
MAT065,Zirconium Diboride,ZrB2,Ceramics,298,2000,71.088255,0.00754958,-2387199.213612,0.997729,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-2325)
MAT066,Titanium Dioxide (Rutile),TiO2,Ceramics,298,1800,74.004431,0.00663699,-1849788.046939,0.99741,J/(mol*K),Shomate,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
MAT067,Zinc Oxide (Zincite),ZnO,Ceramics,298,1500,46.455379,0.00529606,-777264.55134,0.999217,J/(mol*K),Shomate,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
MAT068,Chromium(III) Oxide,Cr2O3,Ceramics,298,1600,120.12708,0.01104048,-3277321.206226,0.999113,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT069,Iron(III) Oxide (Hematite),Fe2O3,Ceramics,298,1000,125.382368,0.01802362,-3399688.2914,0.999886,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables"
MAT070,Yttrium Oxide (Yttria),Y2O3,Ceramics,298,2000,122.536643,0.01023811,-2304885.38284,0.997874,J/(mol*K),Shomate,IVTAN Thermodynamic Database — IVTAN Tables (Gurvich)
MAT071,Lanthanum Oxide,La2O3,Ceramics,298,2000,127.75875,0.01194548,-2581825.576354,0.998246,J/(mol*K),Shomate,IVTAN Thermodynamic Database — IVTAN Tables (Gurvich)
MAT072,Cerium(IV) Oxide (Ceria),CeO2,Ceramics,298,1800,71.237319,0.00625378,-1412880.723184,0.998299,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT073,Barium Titanate,BaTiO3,Ceramics,298,1400,121.618146,0.01043924,-2547575.163371,0.999481,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-5986)
MAT074,Lead Zirconate Titanate (PZT),PbZr0.52Ti0.48O3,Ceramics,298,800,380.0,0.16,-0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — AZoM Technical Ceramics Data
MAT075,Strontium Titanate,SrTiO3,Ceramics,298,1500,117.480815,0.00992002,-2237744.433686,0.999325,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-5229)
MAT076,Cordierite,Mg2Al4Si5O18,Ceramics,298,1500,585.208085,0.06284526,-14546756.667819,0.999115,J/(mol*K),Shomate,NIST Chemistry WebBook — NIST-JANAF Thermochemical Tables
MAT077,Steatite (Magnesium Silicate),MgSiO3,Ceramics,298,1400,95.246855,0.01224592,-2150058.632667,0.999401,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables"
MAT078,Mullite,3Al2O3-2SiO2,Ceramics,298,1800,413.632847,0.03892359,-10516616.245743,0.998221,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT079,Zircon (Zirconium Silicate),ZrSiO4,Ceramics,298,1700,134.454718,0.0128969,-3222328.43629,0.998448,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables"
MAT080,Sialon (beta-phase),Si4Al2O2N6,Ceramics,298,1500,750.0,0.35,0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — AZoM Materials Database - Sialon
MAT081,Hydroxyapatite,Ca10(PO4)6(OH)2,Ceramics,298,1200,895.987887,0.10850073,-20626215.368846,0.99973,J/(mol*K),Shomate,PubChem — PubChem Compound Database (CID 44143493)
MAT082,Beryllium Oxide (Beryllia),BeO,Ceramics,298,2000,50.028557,0.00452383,-1960803.06927,0.99779,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT083,Tantalum Nitride,TaN,Ceramics,298,2000,47.180982,0.0046501,-1018858.739667,0.998584,J/(mol*K),Shomate,AFLOW Database — AFLOW Materials Database
MAT084,Silicon,Si,Semiconductors,298,1687,24.114138,0.00215798,-446214.276574,0.996734,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Thermochemical Tables (1998)"
MAT085,Germanium,Ge,Semiconductors,298,1211,24.047848,0.00358888,-148544.42547,0.999805,J/(mol*K),Shomate,OQMD — Open Quantum Materials Database (OQMD)
MAT086,Gallium Arsenide,GaAs,Semiconductors,298,1511,47.531012,0.0053732,-505685.201602,0.999777,J/(mol*K),Shomate,AFLOW Database — AFLOW Materials Database
MAT087,Gallium Nitride,GaN,Semiconductors,298,1200,42.358061,0.00894132,-877236.444875,0.999276,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-804)
MAT088,Indium Phosphide,InP,Semiconductors,298,1333,46.047234,0.00640837,-442293.312144,0.999776,J/(mol*K),Shomate,AFLOW Database — AFLOW Materials Database
MAT089,Indium Arsenide,InAs,Semiconductors,298,1215,47.529541,0.00498881,-352763.813556,0.999904,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-20305)
MAT090,Indium Antimonide,InSb,Semiconductors,298,798,48.426233,0.00501211,-220863.487408,0.999992,J/(mol*K),Shomate,AFLOW Database — AFLOW Materials Database
MAT091,Gallium Phosphide,GaP,Semiconductors,298,1750,46.003945,0.00611498,-641965.239367,0.99922,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT092,Gallium Antimonide,GaSb,Semiconductors,298,985,48.114129,0.00500016,-299305.546283,0.999971,J/(mol*K),Shomate,OQMD — Open Quantum Materials Database
MAT093,Aluminum Arsenide,AlAs,Semiconductors,298,2013,46.897084,0.00525656,-525866.885673,0.998922,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-2172)
MAT094,Aluminum Phosphide,AlP,Semiconductors,298,1800,45.271305,0.00612665,-765515.979611,0.999035,J/(mol*K),Shomate,AFLOW Database — AFLOW Materials Database
MAT095,Aluminum Antimonide,AlSb,Semiconductors,298,1330,47.769224,0.00543112,-391700.057551,0.999862,J/(mol*K),Shomate,OQMD — Open Quantum Materials Database
MAT096,Cadmium Telluride,CdTe,Semiconductors,298,1365,48.309443,0.00420446,-204118.715939,0.999895,J/(mol*K),Shomate,Springer Open Data — SpringerMaterials - Group II-VI
MAT097,Cadmium Selenide,CdSe,Semiconductors,298,1512,47.859702,0.0046026,-279489.66738,0.999788,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-1070)
MAT098,Cadmium Sulfide,CdS,Semiconductors,298,1600,47.069936,0.00513488,-431626.921437,0.99954,J/(mol*K),Shomate,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
MAT099,Zinc Selenide,ZnSe,Semiconductors,298,1400,48.606082,0.00412595,-239103.901873,0.999936,J/(mol*K),Shomate,OQMD — Open Quantum Materials Database
MAT100,Zinc Telluride,ZnTe,Semiconductors,298,1568,49.274066,0.00355663,-168638.059552,0.999906,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-2176)
MAT101,Zinc Sulfide (Sphalerite),ZnS,Semiconductors,298,1450,45.503906,0.00597391,-552519.575912,0.999701,J/(mol*K),Shomate,"NIST Chemistry WebBook — NIST Chemistry WebBook, SRD 69"
MAT102,Lead Sulfide (Galena),PbS,Semiconductors,298,1390,47.64527,0.00470032,-288160.420426,0.99982,J/(mol*K),Shomate,NIST JANAF — NIST-JANAF Thermochemical Tables
MAT103,Lead Telluride,PbTe,Semiconductors,298,1197,49.385445,0.0036825,-152798.483436,0.999961,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-1979)
MAT104,Lead Selenide,PbSe,Semiconductors,298,1350,48.872217,0.00410192,-201978.941009,0.99991,J/(mol*K),Shomate,OQMD — Open Quantum Materials Database
MAT105,Molybdenum Disulfide,MoS2,Semiconductors,298,1400,70.918146,0.01043924,-2247575.163371,0.999389,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-2815)
MAT106,Tungsten Diselenide,WSe2,Semiconductors,298,1300,73.944717,0.00939394,-1652217.973491,0.999583,J/(mol*K),Shomate,AFLOW Database — AFLOW Materials Database
MAT107,Copper Indium Gallium Selenide,CuIn0.7Ga0.3Se2,Semiconductors,298,900,310.0,0.09,0.0,1.0,J/(kg*K),Polynomial,Springer Open Data — SpringerMaterials - Solar Cell Data
MAT108,Copper Indium Diselenide,CuInSe2,Semiconductors,298,1000,97.171373,0.01135092,-1271430.193226,0.999885,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-1577)
MAT109,Tin(II) Sulfide,SnS,Semiconductors,298,1150,47.052305,0.00604979,-416917.746008,0.999923,J/(mol*K),Shomate,"NIST Chemistry WebBook — Chase, M. W., NIST-JANAF Tables"
MAT110,Germanium Telluride,GeTe,Semiconductors,298,998,49.220997,0.00456231,-235593.882038,0.999974,J/(mol*K),Shomate,OQMD — Open Quantum Materials Database
MAT111,Silicon Germanium Alloy,Si0.8Ge0.2,Semiconductors,298,1400,23.746814,0.0028481,-358099.34967,0.999327,J/(mol*K),Shomate,Springer Open Data — Landolt-Börnstein Group III
MAT112,Beta-Gallium Oxide,beta-Ga2O3,Semiconductors,298,1500,124.707577,0.01176831,-2787950.770492,0.999376,J/(mol*K),Shomate,Materials Project — Materials Project Database (mp-886)
MAT113,Black Phosphorus,P,Semiconductors,298,800,23.310839,0.00770074,-344869.808207,0.999891,J/(mol*K),Shomate,AFLOW Database — AFLOW Materials Database
MAT114,High-Density Polyethylene (HDPE),(C2H4)n,Polymers,200,400,1350.0,4.2,-0.0,1.0,J/(kg*K),Polynomial,PoLyInfo — PoLyInfo (NIMS Polymer Database)
MAT115,Low-Density Polyethylene (LDPE),(C2H4)n,Polymers,200,380,1450.0,4.65,-0.0,1.0,J/(kg*K),Polynomial,PoLyInfo — PoLyInfo (NIMS Polymer Database)
MAT116,Polypropylene (PP),(C3H6)n,Polymers,200,380,1200.0,3.9,-0.0,1.0,J/(kg*K),Polynomial,PoLyInfo — PoLyInfo (NIMS Polymer Database)
MAT117,Polytetrafluoroethylene (PTFE),(C2F4)n,Polymers,200,550,850.0,2.1,0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — AZoM Materials Database - PTFE
MAT118,Polystyrene (PS),(C8H8)n,Polymers,200,370,1150.0,3.3,0.0,1.0,J/(kg*K),Polynomial,PoLyInfo — PoLyInfo (NIMS Polymer Database)
MAT119,Polycarbonate (PC),(C16H14O3)n,Polymers,250,420,1080.0,2.8,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - PC
MAT120,Polymethyl Methacrylate (PMMA),(C5O2H8)n,Polymers,200,380,1250.0,3.1,0.0,1.0,J/(kg*K),Polynomial,PoLyInfo — PoLyInfo (NIMS Polymer Database)
MAT121,Polyethylene Terephthalate (PET),(C10H8O4)n,Polymers,200,350,1050.0,2.95,-0.0,1.0,J/(kg*K),Polynomial,PoLyInfo — PoLyInfo (NIMS Polymer Database)
MAT122,Polyvinyl Chloride (PVC),(C2H3Cl)n,Polymers,200,350,900.0,2.45,-0.0,1.0,J/(kg*K),Polynomial,PoLyInfo — PoLyInfo (NIMS Polymer Database)
MAT123,Polyamide 6 (Nylon 6),(C6H11NO)n,Polymers,200,480,1300.0,3.4,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - Nylon 6
MAT124,"Polyamide 66 (Nylon 6,6)",(C12H22N2O2)n,Polymers,200,500,1350.0,3.55,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - Nylon 66
MAT125,Polyether Ether Ketone (PEEK),(C19H12O3)n,Polymers,250,550,1340.0,2.4,-0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — AZoM Engineering Plastics - PEEK
MAT126,Polyoxymethylene (Acetal / POM),(CH2O)n,Polymers,200,420,1220.0,3.15,-0.0,1.0,J/(kg*K),Polynomial,PoLyInfo — PoLyInfo (NIMS Polymer Database)
MAT127,Polylactic Acid (PLA),(C3H4O2)n,Polymers,200,330,1180.0,2.85,0.0,1.0,J/(kg*K),Polynomial,PoLyInfo — PoLyInfo (NIMS Polymer Database)
MAT128,Polyvinylidene Fluoride (PVDF),(C2H2F2)n,Polymers,200,420,1100.0,2.65,0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - PVDF
MAT129,Polyimide (Kapton),(C22H10N2O5)n,Polymers,200,600,1090.0,1.85,-0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — DuPont Kapton Summary Datasheet
MAT130,Polyetherimide (Ultem / PEI),(C37H24O6N2)n,Polymers,200,480,1150.0,2.25,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — SABIC Ultem Material Property Data
MAT131,Polyphenylene Sulfide (PPS),(C6H4S)n,Polymers,200,520,1020.0,2.1,0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - PPS
MAT132,Polysulfone (PSU),(C27H22O4S)n,Polymers,200,460,1120.0,2.3,-0.0,1.0,J/(kg*K),Polynomial,AZoM Materials Database — AZoM High-Performance Polymers
MAT133,Polydimethylsiloxane (PDMS),(C2H6OSi)n,Polymers,200,450,1380.0,1.95,-0.0,1.0,J/(kg*K),Polynomial,PoLyInfo — PoLyInfo (NIMS Polymer Database)
MAT134,Polyurethane (Elastomer),(C17H16N2O4)n,Polymers,200,380,1500.0,3.2,0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Polyurethane Data
MAT135,Acrylonitrile Butadiene Styrene (ABS),(C8H8)x(C4H6)y(C3H3N)z,Polymers,200,380,1300.0,3.1,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Material Property Data - ABS
MAT136,Natural Rubber (Polyisoprene),(C5H8)n,Polymers,200,350,1620.0,3.8,-0.0,1.0,J/(kg*K),Polynomial,PoLyInfo — PoLyInfo (NIMS Polymer Database)
MAT137,Styrene-Butadiene Rubber (SBR),(C8H8)x(C4H6)y,Polymers,200,350,1580.0,3.65,0.0,1.0,J/(kg*K),Polynomial,PoLyInfo — PoLyInfo (NIMS Polymer Database)
MAT138,Nitrile Rubber (NBR),(C3H3N)x(C4H6)y,Polymers,200,360,1550.0,3.45,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Rubber Material Data
MAT139,Ethylene Propylene Diene (EPDM),(C2H4)x(C3H6)y(diene)z,Polymers,200,370,1700.0,3.9,-0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb EPDM Datasheet
MAT140,Polybutylene Terephthalate (PBT),(C12H12O4)n,Polymers,200,480,1100.0,2.8,0.0,1.0,J/(kg*K),Polynomial,PoLyInfo — PoLyInfo (NIMS Polymer Database)
MAT141,Polyacrylonitrile (PAN),(C3H3N)n,Polymers,200,360,1220.0,2.75,0.0,1.0,J/(kg*K),Polynomial,PoLyInfo — PoLyInfo (NIMS Polymer Database)
MAT142,Polyvinyl Alcohol (PVA),(C2H4O)n,Polymers,200,400,1400.0,3.5,0.0,1.0,J/(kg*K),Polynomial,PoLyInfo — PoLyInfo (NIMS Polymer Database)
MAT143,Epoxy Resin (Bisphenol A Diglycidyl Ether),(C21H24O4)n,Polymers,200,420,1120.0,2.5,0.0,1.0,J/(kg*K),Polynomial,MatWeb — MatWeb Epoxy Resins Overview
