Material_ID,Material_Name,Chemical_Formula,Category,T_min_K,T_max_K,a,b,c,Cp_Unit,Original_Equation_Type
MAT034,Titanium Ti-6Al-4V (Grade 5),Ti-6Al-4V,Metals and alloys,298,1100,526.0,0.18,-0.0,J/(kg*K),Polynomial
MAT035,Titanium Ti-6Al-2Sn-4Zr-2Mo,Ti-6Al-2Sn-4Zr-2Mo,Metals and alloys,298,1000,510.0,0.2,-0.0,J/(kg*K),Polynomial
MAT036,Titanium Ti-3Al-2.5V (Grade 9),Ti-3Al-2.5V,Metals and alloys,298,1000,530.0,0.17,0.0,J/(kg*K),Polynomial
MAT037,Aluminum 6061-T6,Al-1.0Mg-0.6Si,Metals and alloys,298,800,896.0,0.45,-0.0,J/(kg*K),Polynomial
MAT038,Aluminum 7075-T6,Al-5.6Zn-2.5Mg-1.6Cu,Metals and alloys,298,750,860.0,0.48,0.0,J/(kg*K),Polynomial
MAT039,Aluminum 2024-T3,Al-4.4Cu-1.5Mg-0.6Mn,Metals and alloys,298,750,875.0,0.46,-0.0,J/(kg*K),Polynomial
MAT040,Aluminum 5083-H116,Al-4.5Mg-0.7Mn,Metals and alloys,298,750,900.0,0.44,0.0,J/(kg*K),Polynomial
MAT041,Cartridge Brass (CuZn30),Cu-30Zn,Metals and alloys,298,1000,377.0,0.12,-0.0,J/(kg*K),Polynomial
MAT042,Naval Brass (CuZn39Sn1),Cu-39Zn-1Sn,Metals and alloys,298,950,380.0,0.13,0.0,J/(kg*K),Polynomial
MAT043,Phosphor Bronze (CuSn8),Cu-8Sn-0.2P,Metals and alloys,298,1000,380.0,0.11,-0.0,J/(kg*K),Polynomial
MAT044,Aluminum Bronze (CuAl10Fe3),Cu-10Al-3Fe,Metals and alloys,298,1000,419.0,0.14,-0.0,J/(kg*K),Polynomial
MAT045,Cupronickel 70-30,Cu-30Ni-1Fe-1Mn,Metals and alloys,298,1100,377.0,0.15,-0.0,J/(kg*K),Polynomial
MAT046,Beryllium Copper (C17200),Cu-1.9Be-0.2Co,Metals and alloys,298,900,420.0,0.16,-0.0,J/(kg*K),Polynomial
MAT047,Magnesium AZ31B,Mg-3Al-1Zn,Metals and alloys,298,700,1020.0,0.55,-0.0,J/(kg*K),Polynomial
MAT048,Magnesium AZ91D,Mg-9Al-0.7Zn,Metals and alloys,298,700,1050.0,0.58,-0.0,J/(kg*K),Polynomial
MAT054,Alumina (Corundum),Al2O3,Ceramics,298,1200,112.224413,0.01597926,-3450053.421848,J/(mol*K),Shomate
MAT055,Silicon Nitride (alpha),Si3N4,Ceramics,298,2000,121.354265,0.02808331,-5065116.870517,J/(mol*K),Shomate
MAT056,Silicon Carbide (beta),SiC,Ceramics,298,2000,43.351408,0.00710753,-1358347.151035,J/(mol*K),Shomate
MAT057,Titanium Carbide,TiC,Ceramics,298,2000,50.911013,0.00323756,-1388579.462773,J/(mol*K),Shomate
MAT058,Boron Carbide,B4C,Ceramics,298,2000,107.222586,0.01217788,-5020819.501308,J/(mol*K),Shomate
MAT059,Titanium Nitride,TiN,Ceramics,298,2000,45.817786,0.00449559,-936386.015944,J/(mol*K),Shomate
MAT060,Aluminum Nitride,AlN,Ceramics,298,1800,44.65062,0.00675365,-1210583.207947,J/(mol*K),Shomate
MAT061,Zirconium Carbide,ZrC,Ceramics,298,2000,49.703108,0.00395427,-1252902.508626,J/(mol*K),Shomate
MAT062,Zirconium Nitride,ZrN,Ceramics,298,2000,45.608599,0.0045101,-957838.420692,J/(mol*K),Shomate
MAT063,Boron Nitride (Hexagonal),BN,Ceramics,298,1800,32.818929,0.00748159,-1390945.067385,J/(mol*K),Shomate
MAT064,Titanium Diboride,TiB2,Ceramics,298,2000,70.690069,0.00765625,-2666232.056628,J/(mol*K),Shomate
MAT065,Zirconium Diboride,ZrB2,Ceramics,298,2000,71.088255,0.00754958,-2387199.213612,J/(mol*K),Shomate
MAT066,Titanium Dioxide (Rutile),TiO2,Ceramics,298,1800,74.004431,0.00663699,-1849788.046939,J/(mol*K),Shomate
MAT067,Zinc Oxide (Zincite),ZnO,Ceramics,298,1500,46.455379,0.00529606,-777264.55134,J/(mol*K),Shomate
MAT068,Chromium(III) Oxide,Cr2O3,Ceramics,298,1600,120.12708,0.01104048,-3277321.206226,J/(mol*K),Shomate
MAT069,Iron(III) Oxide (Hematite),Fe2O3,Ceramics,298,1000,125.382368,0.01802362,-3399688.2914,J/(mol*K),Shomate
MAT070,Yttrium Oxide (Yttria),Y2O3,Ceramics,298,2000,122.536643,0.01023811,-2304885.38284,J/(mol*K),Shomate
MAT071,Lanthanum Oxide,La2O3,Ceramics,298,2000,127.75875,0.01194548,-2581825.576354,J/(mol*K),Shomate
MAT072,Cerium(IV) Oxide (Ceria),CeO2,Ceramics,298,1800,71.237319,0.00625378,-1412880.723184,J/(mol*K),Shomate
MAT073,Barium Titanate,BaTiO3,Ceramics,298,1400,121.618146,0.01043924,-2547575.163371,J/(mol*K),Shomate
MAT074,Lead Zirconate Titanate (PZT),PbZr0.52Ti0.48O3,Ceramics,298,800,380.0,0.16,-0.0,J/(kg*K),Polynomial
MAT075,Strontium Titanate,SrTiO3,Ceramics,298,1500,117.480815,0.00992002,-2237744.433686,J/(mol*K),Shomate
MAT076,Cordierite,Mg2Al4Si5O18,Ceramics,298,1500,585.208085,0.06284526,-14546756.667819,J/(mol*K),Shomate
MAT077,Steatite (Magnesium Silicate),MgSiO3,Ceramics,298,1400,95.246855,0.01224592,-2150058.632667,J/(mol*K),Shomate
MAT078,Mullite,3Al2O3-2SiO2,Ceramics,298,1800,413.632847,0.03892359,-10516616.245743,J/(mol*K),Shomate
MAT079,Zircon (Zirconium Silicate),ZrSiO4,Ceramics,298,1700,134.454718,0.0128969,-3222328.43629,J/(mol*K),Shomate
MAT080,Sialon (beta-phase),Si4Al2O2N6,Ceramics,298,1500,750.0,0.35,0.0,J/(kg*K),Polynomial
MAT081,Hydroxyapatite,Ca10(PO4)6(OH)2,Ceramics,298,1200,895.987887,0.10850073,-20626215.368846,J/(mol*K),Shomate
MAT082,Beryllium Oxide (Beryllia),BeO,Ceramics,298,2000,50.028557,0.00452383,-1960803.06927,J/(mol*K),Shomate
MAT083,Tantalum Nitride,TaN,Ceramics,298,2000,47.180982,0.0046501,-1018858.739667,J/(mol*K),Shomate
MAT084,Silicon,Si,Semiconductors,298,1687,24.114138,0.00215798,-446214.276574,J/(mol*K),Shomate
MAT085,Germanium,Ge,Semiconductors,298,1211,24.047848,0.00358888,-148544.42547,J/(mol*K),Shomate
MAT086,Gallium Arsenide,GaAs,Semiconductors,298,1511,47.531012,0.0053732,-505685.201602,J/(mol*K),Shomate
MAT087,Gallium Nitride,GaN,Semiconductors,298,1200,42.358061,0.00894132,-877236.444875,J/(mol*K),Shomate
MAT088,Indium Phosphide,InP,Semiconductors,298,1333,46.047234,0.00640837,-442293.312144,J/(mol*K),Shomate
MAT089,Indium Arsenide,InAs,Semiconductors,298,1215,47.529541,0.00498881,-352763.813556,J/(mol*K),Shomate
MAT090,Indium Antimonide,InSb,Semiconductors,298,798,48.426233,0.00501211,-220863.487408,J/(mol*K),Shomate
MAT091,Gallium Phosphide,GaP,Semiconductors,298,1750,46.003945,0.00611498,-641965.239367,J/(mol*K),Shomate
MAT092,Gallium Antimonide,GaSb,Semiconductors,298,985,48.114129,0.00500016,-299305.546283,J/(mol*K),Shomate
MAT093,Aluminum Arsenide,AlAs,Semiconductors,298,2013,46.897084,0.00525656,-525866.885673,J/(mol*K),Shomate
MAT094,Aluminum Phosphide,AlP,Semiconductors,298,1800,45.271305,0.00612665,-765515.979611,J/(mol*K),Shomate
MAT095,Aluminum Antimonide,AlSb,Semiconductors,298,1330,47.769224,0.00543112,-391700.057551,J/(mol*K),Shomate
MAT096,Cadmium Telluride,CdTe,Semiconductors,298,1365,48.309443,0.00420446,-204118.715939,J/(mol*K),Shomate
MAT097,Cadmium Selenide,CdSe,Semiconductors,298,1512,47.859702,0.0046026,-279489.66738,J/(mol*K),Shomate
MAT098,Cadmium Sulfide,CdS,Semiconductors,298,1600,47.069936,0.00513488,-431626.921437,J/(mol*K),Shomate
MAT099,Zinc Selenide,ZnSe,Semiconductors,298,1400,48.606082,0.00412595,-239103.901873,J/(mol*K),Shomate
MAT100,Zinc Telluride,ZnTe,Semiconductors,298,1568,49.274066,0.00355663,-168638.059552,J/(mol*K),Shomate
MAT101,Zinc Sulfide (Sphalerite),ZnS,Semiconductors,298,1450,45.503906,0.00597391,-552519.575912,J/(mol*K),Shomate
MAT102,Lead Sulfide (Galena),PbS,Semiconductors,298,1390,47.64527,0.00470032,-288160.420426,J/(mol*K),Shomate
MAT103,Lead Telluride,PbTe,Semiconductors,298,1197,49.385445,0.0036825,-152798.483436,J/(mol*K),Shomate
MAT104,Lead Selenide,PbSe,Semiconductors,298,1350,48.872217,0.00410192,-201978.941009,J/(mol*K),Shomate
MAT105,Molybdenum Disulfide,MoS2,Semiconductors,298,1400,70.918146,0.01043924,-2247575.163371,J/(mol*K),Shomate
MAT106,Tungsten Diselenide,WSe2,Semiconductors,298,1300,73.944717,0.00939394,-1652217.973491,J/(mol*K),Shomate
MAT107,Copper Indium Gallium Selenide,CuIn0.7Ga0.3Se2,Semiconductors,298,900,310.0,0.09,0.0,J/(kg*K),Polynomial
MAT108,Copper Indium Diselenide,CuInSe2,Semiconductors,298,1000,97.171373,0.01135092,-1271430.193226,J/(mol*K),Shomate
MAT109,Tin(II) Sulfide,SnS,Semiconductors,298,1150,47.052305,0.00604979,-416917.746008,J/(mol*K),Shomate
MAT110,Germanium Telluride,GeTe,Semiconductors,298,998,49.220997,0.00456231,-235593.882038,J/(mol*K),Shomate
MAT111,Silicon Germanium Alloy,Si0.8Ge0.2,Semiconductors,298,1400,23.746814,0.0028481,-358099.34967,J/(mol*K),Shomate
MAT112,Beta-Gallium Oxide,beta-Ga2O3,Semiconductors,298,1500,124.707577,0.01176831,-2787950.770492,J/(mol*K),Shomate
MAT113,Black Phosphorus,P,Semiconductors,298,800,23.310839,0.00770074,-344869.808207,J/(mol*K),Shomate
MAT114,High-Density Polyethylene (HDPE),(C2H4)n,Polymers,200,400,1350.0,4.2,-0.0,J/(kg*K),Polynomial
MAT115,Low-Density Polyethylene (LDPE),(C2H4)n,Polymers,200,380,1450.0,4.65,-0.0,J/(kg*K),Polynomial
MAT116,Polypropylene (PP),(C3H6)n,Polymers,200,380,1200.0,3.9,-0.0,J/(kg*K),Polynomial
MAT117,Polytetrafluoroethylene (PTFE),(C2F4)n,Polymers,200,550,850.0,2.1,0.0,J/(kg*K),Polynomial
MAT118,Polystyrene (PS),(C8H8)n,Polymers,200,370,1150.0,3.3,0.0,J/(kg*K),Polynomial
MAT119,Polycarbonate (PC),(C16H14O3)n,Polymers,250,420,1080.0,2.8,-0.0,J/(kg*K),Polynomial
MAT120,Polymethyl Methacrylate (PMMA),(C5O2H8)n,Polymers,200,380,1250.0,3.1,0.0,J/(kg*K),Polynomial
MAT121,Polyethylene Terephthalate (PET),(C10H8O4)n,Polymers,200,350,1050.0,2.95,-0.0,J/(kg*K),Polynomial
MAT122,Polyvinyl Chloride (PVC),(C2H3Cl)n,Polymers,200,350,900.0,2.45,-0.0,J/(kg*K),Polynomial
MAT123,Polyamide 6 (Nylon 6),(C6H11NO)n,Polymers,200,480,1300.0,3.4,-0.0,J/(kg*K),Polynomial
MAT124,"Polyamide 66 (Nylon 6,6)",(C12H22N2O2)n,Polymers,200,500,1350.0,3.55,-0.0,J/(kg*K),Polynomial
MAT125,Polyether Ether Ketone (PEEK),(C19H12O3)n,Polymers,250,550,1340.0,2.4,-0.0,J/(kg*K),Polynomial
MAT126,Polyoxymethylene (Acetal / POM),(CH2O)n,Polymers,200,420,1220.0,3.15,-0.0,J/(kg*K),Polynomial
MAT127,Polylactic Acid (PLA),(C3H4O2)n,Polymers,200,330,1180.0,2.85,0.0,J/(kg*K),Polynomial
MAT128,Polyvinylidene Fluoride (PVDF),(C2H2F2)n,Polymers,200,420,1100.0,2.65,0.0,J/(kg*K),Polynomial
MAT129,Polyimide (Kapton),(C22H10N2O5)n,Polymers,200,600,1090.0,1.85,-0.0,J/(kg*K),Polynomial
MAT130,Polyetherimide (Ultem / PEI),(C37H24O6N2)n,Polymers,200,480,1150.0,2.25,-0.0,J/(kg*K),Polynomial
MAT131,Polyphenylene Sulfide (PPS),(C6H4S)n,Polymers,200,520,1020.0,2.1,0.0,J/(kg*K),Polynomial
MAT132,Polysulfone (PSU),(C27H22O4S)n,Polymers,200,460,1120.0,2.3,-0.0,J/(kg*K),Polynomial
MAT133,Polydimethylsiloxane (PDMS),(C2H6OSi)n,Polymers,200,450,1380.0,1.95,-0.0,J/(kg*K),Polynomial
MAT134,Polyurethane (Elastomer),(C17H16N2O4)n,Polymers,200,380,1500.0,3.2,0.0,J/(kg*K),Polynomial
MAT135,Acrylonitrile Butadiene Styrene (ABS),(C8H8)x(C4H6)y(C3H3N)z,Polymers,200,380,1300.0,3.1,-0.0,J/(kg*K),Polynomial
MAT136,Natural Rubber (Polyisoprene),(C5H8)n,Polymers,200,350,1620.0,3.8,-0.0,J/(kg*K),Polynomial
MAT137,Styrene-Butadiene Rubber (SBR),(C8H8)x(C4H6)y,Polymers,200,350,1580.0,3.65,0.0,J/(kg*K),Polynomial
MAT138,Nitrile Rubber (NBR),(C3H3N)x(C4H6)y,Polymers,200,360,1550.0,3.45,-0.0,J/(kg*K),Polynomial
MAT139,Ethylene Propylene Diene (EPDM),(C2H4)x(C3H6)y(diene)z,Polymers,200,370,1700.0,3.9,-0.0,J/(kg*K),Polynomial
MAT140,Polybutylene Terephthalate (PBT),(C12H12O4)n,Polymers,200,480,1100.0,2.8,0.0,J/(kg*K),Polynomial
MAT141,Polyacrylonitrile (PAN),(C3H3N)n,Polymers,200,360,1220.0,2.75,0.0,J/(kg*K),Polynomial
MAT142,Polyvinyl Alcohol (PVA),(C2H4O)n,Polymers,200,400,1400.0,3.5,0.0,J/(kg*K),Polynomial
MAT143,Epoxy Resin (Bisphenol A Diglycidyl Ether),(C21H24O4)n,Polymers,200,420,1120.0,2.5,0.0,J/(kg*K),Polynomial
MAT144,Fused Silica Glass,SiO2,Glasses,298,1800,66.804233,0.00839936,-2365962.840657,J/(mol*K),Shomate
MAT145,Borosilicate Glass (Pyrex),SiO2-B2O3-Na2O-Al2O3,Glasses,273,800,898.57624,0.44023548,-4810401.564693,J/(kg*K),Polynomial
MAT146,Soda-Lime Glass,SiO2-Na2O-CaO,Glasses,273,800,840.0,0.78,-0.0,J/(kg*K),Polynomial
MAT147,Aluminosilicate Glass,SiO2-Al2O3-CaO-MgO,Glasses,273,900,780.0,0.72,-0.0,J/(kg*K),Polynomial
MAT148,Lead Crystal Glass,SiO2-PbO-K2O,Glasses,273,750,500.0,0.45,-0.0,J/(kg*K),Polynomial
MAT149,Fluoride Glass (ZBLAN),ZrF4-BaF2-LaF3-AlF3-NaF,Glasses,200,600,620.0,0.58,0.0,J/(kg*K),Polynomial
MAT150,Chalcogenide Glass (Ge33As12Se55),Ge33As12Se55,Glasses,200,500,360.0,0.28,0.0,J/(kg*K),Polynomial
MAT151,96% Silica Glass (Vycor),SiO2-B2O3,Glasses,273,1100,740.0,0.82,0.0,J/(kg*K),Polynomial
MAT152,E-Glass (Alumino-borosilicate),SiO2-Al2O3-B2O3-CaO,Glasses,273,900,800.0,0.75,-0.0,J/(kg*K),Polynomial
MAT153,S-Glass (High Strength),SiO2-Al2O3-MgO,Glasses,273,950,735.0,0.78,-0.0,J/(kg*K),Polynomial
MAT154,Glass Ceramic (Zerodur),SiO2-Al2O3-Li2O,Glasses,200,600,820.0,0.65,-0.0,J/(kg*K),Polynomial
MAT155,Glass Ceramic (Macor),SiO2-Al2O3-MgO-K2O-F,Glasses,200,800,790.0,0.68,0.0,J/(kg*K),Polynomial
MAT156,Phosphate Glass,P2O5-Al2O3-Na2O,Glasses,273,700,710.0,0.62,-0.0,J/(kg*K),Polynomial
MAT157,Germanate Glass,GeO2-PbO,Glasses,273,750,480.0,0.38,0.0,J/(kg*K),Polynomial
MAT158,Tellurite Glass,TeO2-WO3-La2O3,Glasses,273,650,390.0,0.32,-0.0,J/(kg*K),Polynomial
MAT159,Magnesia (Periclase),MgO,Refractories,298,2000,48.549167,0.00360158,-964523.377307,J/(mol*K),Shomate
MAT160,Zirconia (Monoclinic),ZrO2,Refractories,298,1478,71.888596,0.00681203,-1543347.281595,J/(mol*K),Shomate
MAT161,Hafnium Carbide,HfC,Refractories,298,2500,50.148589,0.00381329,-1216810.653124,J/(mol*K),Shomate
MAT162,Tantalum Carbide,TaC,Refractories,298,2500,49.708147,0.00435926,-1149774.4556,J/(mol*K),Shomate
MAT163,Spinel,MgAl2O4,Refractories,298,2000,162.99838,0.01454994,-4935347.035264,J/(mol*K),Shomate
MAT164,Chromite,FeCr2O4,Refractories,298,1800,164.133989,0.01378858,-4357402.095825,J/(mol*K),Shomate
MAT165,Forsterite,Mg2SiO4,Refractories,298,1800,159.254074,0.01623685,-4602102.084978,J/(mol*K),Shomate
MAT166,Enstatite,MgSiO3,Refractories,298,1600,95.048532,0.01214135,-2307782.764215,J/(mol*K),Shomate
MAT167,Calcium Oxide (Lime),CaO,Refractories,298,2000,50.570232,0.00291237,-842150.300474,J/(mol*K),Shomate
MAT168,Dolomite (Calcined),CaO-MgO,Refractories,298,1800,880.0,0.22,0.0,J/(kg*K),Polynomial
MAT169,Aluminum Titanate,Al2TiO5,Refractories,298,1600,185.405795,0.01931371,-4715689.521619,J/(mol*K),Shomate
MAT170,Hafnium Diboride,HfB2,Refractories,298,2200,72.655261,0.00672139,-2337989.783755,J/(mol*K),Shomate
MAT171,Tantalum Diboride,TaB2,Refractories,298,2200,73.692918,0.00663138,-2244683.678445,J/(mol*K),Shomate
MAT172,Hafnia,HfO2,Refractories,298,2000,75.153864,0.0054097,-1525110.460071,J/(mol*K),Shomate
MAT173,Thoria,ThO2,Refractories,298,2500,74.595826,0.00499887,-1444419.6103,J/(mol*K),Shomate
MAT174,Carbon Fiber / Epoxy (CFRP UD),C/Epoxy,Composite materials,200,450,900.0,2.1,0.0,J/(kg*K),Polynomial
MAT175,Glass Fiber / Epoxy (GFRP),Glass/Epoxy,Composite materials,200,450,850.0,1.85,-0.0,J/(kg*K),Polynomial
MAT176,Aramid / Epoxy (Kevlar/Epoxy),Aramid/Epoxy,Composite materials,200,450,1100.0,2.4,-0.0,J/(kg*K),Polynomial
MAT177,Carbon/Carbon Composite (C/C),C/C,Composite materials,298,2000,1238.92612,0.43410713,-35663487.20424,J/(kg*K),Polynomial
MAT178,Alumina / Silicon Carbide (Al2O3/SiC),Al2O3-SiC,Composite materials,298,1400,780.0,0.42,0.0,J/(kg*K),Polynomial
MAT179,Silicon Carbide / Silicon Carbide (SiC/SiC),SiC/SiC,Composite materials,298,1600,680.0,0.48,0.0,J/(kg*K),Polynomial
MAT180,Al/SiC Metal Matrix Composite (20% SiC),Al-20SiC,Composite materials,298,800,820.0,0.41,-0.0,J/(kg*K),Polynomial
MAT181,Al/Al2O3 Metal Matrix Composite,Al-Al2O3,Composite materials,298,800,840.0,0.38,-0.0,J/(kg*K),Polynomial
MAT182,Tungsten Carbide / Cobalt (WC-6Co),WC-6Co,Composite materials,298,1000,220.0,0.12,0.0,J/(kg*K),Polynomial
MAT183,Tungsten Carbide / Cobalt (WC-12Co),WC-12Co,Composite materials,298,1000,245.0,0.14,-0.0,J/(kg*K),Polynomial
MAT184,TiC-Ni Cermet,TiC-Ni,Composite materials,298,1100,460.0,0.22,-0.0,J/(kg*K),Polynomial
MAT185,Wood-Plastic Composite (WPC),Wood-HDPE,Composite materials,200,360,1500.0,3.8,0.0,J/(kg*K),Polynomial
MAT186,Basalt Fiber / Epoxy Composite,Basalt/Epoxy,Composite materials,200,450,870.0,1.75,0.0,J/(kg*K),Polynomial
MAT187,Boron / Aluminum Composite,B/Al,Composite materials,298,750,810.0,0.35,-0.0,J/(kg*K),Polynomial
MAT188,Carbon Fiber / PEEK (AS4/PEEK),AS4/PEEK,Composite materials,200,550,1050.0,2.15,0.0,J/(kg*K),Polynomial
MAT189,Lithium Cobalt Oxide (LCO),LiCoO2,Other technologically relevant materials,298,1000,80.68001,0.0122081,-1709522.162174,J/(mol*K),Shomate
MAT190,Lithium Iron Phosphate (LFP),LiFePO4,Other technologically relevant materials,298,1000,151.845261,0.0219794,-3231695.0905,J/(mol*K),Shomate
MAT191,Lithium Manganese Oxide (LMO),LiMn2O4,Other technologically relevant materials,298,1000,165.329227,0.02325562,-3532713.612434,J/(mol*K),Shomate
MAT192,Lithium Titanate (LTO),Li4Ti5O12,Other technologically relevant materials,298,1100,405.757453,0.05064335,-8342705.02386,J/(mol*K),Shomate
MAT193,Lithium Nickel Manganese Cobalt (NMC111),LiNi0.33Mn0.33Co0.33O2,Other technologically relevant materials,298,600,820.0,0.45,0.0,J/(kg*K),Polynomial
MAT194,Lithium Nickel Cobalt Al Oxide (NCA),LiNi0.8Co0.15Al0.05O2,Other technologically relevant materials,298,600,840.0,0.48,-0.0,J/(kg*K),Polynomial
MAT195,Graphite (Synthetic),C,Other technologically relevant materials,298,3000,32.179522,0.00203513,-1368916.068834,J/(mol*K),Shomate
MAT196,Solid Electrolyte LLZO,Li7La3Zr2O12,Other technologically relevant materials,298,1000,442.781594,0.05765463,-9418235.05657,J/(mol*K),Shomate
MAT197,Solid Electrolyte LGPS,Li10GeP2S12,Other technologically relevant materials,298,800,542.432905,0.08432854,-10969066.388955,J/(mol*K),Shomate
MAT198,Solid Electrolyte NaSICON,Na3Zr2Si2PO12,Other technologically relevant materials,298,1000,411.551711,0.05512632,-8472568.730053,J/(mol*K),Shomate
MAT199,Bismuth Telluride,Bi2Te3,Other technologically relevant materials,298,850,120.959241,0.0153565,-1214181.421986,J/(mol*K),Shomate
MAT200,Lead Telluride (Thermoelectric),PbTe,Other technologically relevant materials,298,1000,49.332474,0.0037467,-149003.734897,J/(mol*K),Shomate
MAT201,Cobalt Antimonide (Skutterudite),CoSb3,Other technologically relevant materials,298,900,98.542099,0.01313601,-1328397.606915,J/(mol*K),Shomate
MAT202,Silicon Germanium (p-type TE),Si0.7Ge0.3,Other technologically relevant materials,298,1300,23.786962,0.00303775,-318360.209397,J/(mol*K),Shomate
MAT203,Tin Selenide,SnSe,Other technologically relevant materials,298,950,48.692006,0.0054973,-271717.205469,J/(mol*K),Shomate
MAT204,YBCO Superconductor,YBa2Cu3O7,Other technologically relevant materials,200,800,283.706836,0.05802944,-5376747.25055,J/(mol*K),Shomate
MAT205,BSCCO Superconductor,Bi2Sr2CaCu2O8,Other technologically relevant materials,200,800,319.820533,0.06398488,-6304953.458369,J/(mol*K),Shomate
MAT206,Magnesium Diboride,MgB2,Other technologically relevant materials,200,800,51.392288,0.01894884,-1181584.503616,J/(mol*K),Shomate
MAT207,Niobium-Titanium (Superconductor),Nb-47Ti,Other technologically relevant materials,100,600,380.0,0.25,-0.0,J/(kg*K),Polynomial
MAT208,Niobium-Tin (Nb3Sn),Nb3Sn,Other technologically relevant materials,100,800,93.36637,0.01442611,-857938.705851,J/(mol*K),Shomate
MAT209,Uranium Dioxide (Nuclear Fuel),UO2,Other technologically relevant materials,298,2500,73.577685,0.0062081,-1820560.155651,J/(mol*K),Shomate
MAT210,Plutonium Dioxide,PuO2,Other technologically relevant materials,298,2000,72.313519,0.00750734,-1569168.733646,J/(mol*K),Shomate
MAT211,Thorium Dioxide,ThO2,Other technologically relevant materials,298,2500,74.595826,0.00499887,-1444419.6103,J/(mol*K),Shomate
